hhnum,strrec,regcode,psurec,provcode,prelacteal2,predom_0to5,mmf_6to23,member_code,mdd,mad_6to23_new,introcomple_6to8,agemos,firstbf2,finalwgt,exbf_0to5,ever_bf2,duration_bf,dds_6to23,current_fd_recall2,cont_20to23,cont_12to15,bottle_status,age_appro_all
1303,32,1,4,55,0,9999,1,5,0,0,9999,18.72,9999,727.5522,9999,1,18,3,6,9999,9999,0,1
1310,35,1,4,55,0,9999,0,6,0,0,0,6,1,716.7199,9999,1,6,0,1,9999,9999,1,0
1311,35,1,4,55,1,9999,1,9,0,0,9999,15.6,3,716.7199,9999,1,15,2,6,9999,1,0,1
1314,35,1,4,55,0,9999,1,10,0,0,9999,9.36,1,716.7199,9999,1,9,1,3,9999,9999,0,1
1318,35,1,4,55,9999,0,9999,5,9999,9999,9999,3.6,9999,716.7199,0,0,9999,9999,8,9999,9999,1,0
1331,17,1,3,55,1,0,9999,5,9999,9999,9999,1.08,1,777.7046,0,1,1,9999,4,9999,9999,1,0
1357,25,1,1,55,1,9999,1,10,0,0,9999,16.08,1,741.3528,9999,1,12,2,9,9999,9999,0,0
1368,21,1,2,55,1,9999,1,7,0,0,9999,22.8,2,731.7418,9999,1,20,3,11,0,9999,0,0
1369,21,1,2,55,0,9999,1,7,0,0,9999,9.36,3,731.4524,9999,1,8,1,8,9999,9999,1,0
1385,26,1,2,55,0,9999,1,8,0,0,9999,20.88,1,778.6021,9999,1,5,2,9,0,9999,0,0
1389,36,1,4,55,9999,9999,1,6,0,0,9999,11.88,9999,740.9746,9999,0,9999,1,8,9999,9999,1,0
1394,36,1,4,55,0,9999,1,14,0,0,1,8.4,1,740.6816,9999,1,8,2,5,9999,9999,1,1
1394,36,1,4,55,0,9999,1,9,0,0,1,8.52,1,740.9746,9999,1,8,2,3,9999,9999,1,1
1414,19,1,2,55,1,0,9999,7,9999,9999,9999,4.8,3,727.975,1,1,4,9999,1,9999,9999,1,1
1434,22,1,1,55,0,9999,1,5,0,0,9999,23.64,1,739.0094,9999,1,23,2,6,1,9999,0,1
1466,23,1,3,55,0,9999,1,8,1,1,9999,21.84,1,719.2711,9999,1,21,4,6,1,9999,0,1
1469,23,1,3,55,0,9999,1,8,0,0,9999,20.4,2,718.9866,9999,1,12,3,11,0,9999,0,0
1478,37,1,3,55,0,0,9999,9,9999,9999,9999,1.32,1,703.8331,1,1,1,9999,1,9999,9999,0,1
1489,37,1,3,55,0,9999,1,6,0,0,9999,20.88,2,703.8331,9999,1,20,3,6,1,9999,0,1
1497,18,1,4,55,0,9999,1,9,0,0,9999,20.4,1,794.9075,9999,1,3,3,9,0,9999,1,0
1507,18,1,4,55,9999,9999,1,8,0,0,9999,9.72,9999,794.9075,9999,0,9999,2,9,9999,9999,1,0
1510,19,1,4,55,0,0,9999,5,9999,9999,9999,3.96,2,727.6871,0,1,0,9999,8,9999,9999,1,0
1517,19,1,4,55,1,9999,1,7,0,0,1,6.6,1,727.975,9999,1,4,2,9,9999,9999,1,0
1533,20,1,1,55,1,9999,1,9,0,0,9999,15.6,1,755.8506,9999,1,15,2,5,9999,1,1,1
1535,20,1,1,55,0,9999,1,8,0,0,9999,21.48,1,756.1497,9999,1,21,3,5,1,9999,1,1
1538,20,1,1,55,0,9999,1,7,0,0,1,8.52,1,756.1497,9999,1,8,1,3,9999,9999,0,1
1541,20,1,1,55,9999,9999,1,7,1,0,9999,16.2,9999,756.1497,9999,0,9999,4,10,9999,9999,1,0
1553,17,1,1,55,0,9999,1,6,0,0,9999,18,3,778.0122,9999,1,1,2,3,9999,9999,0,1
1564,18,1,1,55,9999,9999,1,6,0,0,9999,13.8,9999,795.222,9999,0,9999,2,9,9999,0,1,0
1565,18,1,1,55,1,9999,1,11,0,0,1,8.76,1,795.222,9999,1,8,1,3,9999,9999,1,1
1566,18,1,1,55,0,9999,1,5,0,0,9999,11.04,2,795.222,9999,1,11,2,3,9999,9999,0,1
1579,18,1,1,55,0,9999,1,5,1,1,9999,16.8,2,794.9075,9999,1,10,5,10,9999,9999,1,0
1581,18,1,1,55,0,9999,1,4,0,0,1,7.56,1,794.9075,9999,1,7,2,3,9999,9999,1,1
1589,36,1,2,55,0,9999,1,6,0,0,9999,15,1,740.9746,9999,1,15,2,3,9999,1,0,1
1596,19,1,1,55,0,0,9999,3,9999,9999,9999,2.88,1,727.6871,0,1,1,9999,8,9999,9999,1,0
1607,19,1,1,55,0,0,9999,8,9999,9999,9999,5.16,1,727.6871,0,1,5,9999,3,9999,9999,0,0
1610,19,1,1,55,0,9999,1,12,0,0,9999,9.12,1,727.6871,9999,1,3,2,9,9999,9999,1,0
1610,19,1,1,55,0,0,9999,8,9999,9999,9999,4.2,1,727.6871,0,1,4,9999,4,9999,9999,1,0
1656,23,1,4,55,0,0,9999,8,9999,9999,9999,4.44,1,718.9866,0,1,4,9999,4,9999,9999,0,0
1716,25,1,4,55,0,9999,1,7,0,0,9999,9.96,2,741.6461,9999,1,9,1,3,9999,9999,0,1
1726,25,1,4,55,9999,9999,1,7,0,0,9999,17.64,9999,741.3528,9999,0,9999,3,10,9999,9999,1,0
1744,33,1,4,55,0,9999,1,7,0,0,9999,22.92,1,701.6922,9999,1,22,2,6,1,9999,0,1
1750,33,1,4,55,0,9999,0,7,0,0,9999,10.68,1,701.4147,9999,1,10,1,3,9999,9999,0,1
1771,34,1,4,55,0,9999,1,8,0,0,1,6.6,1,727.907,9999,1,3,2,9,9999,9999,1,0
1776,34,1,4,55,0,9999,1,3,0,0,9999,11.52,1,727.907,9999,1,11,3,6,9999,9999,0,1
1781,34,1,4,55,0,9999,1,9,1,1,9999,19.56,3,728.1949,9999,1,19,4,6,9999,9999,0,1
1783,34,1,4,55,0,9999,1,11,0,0,9999,16.92,1,728.1949,9999,1,16,3,6,9999,9999,1,1
1790,37,1,4,55,0,9999,1,4,0,0,9999,21.48,1,703.5548,9999,1,7,3,10,0,9999,0,0
1790,37,1,4,55,0,9999,0,5,0,0,0,6.72,1,703.8331,9999,1,6,0,1,9999,9999,0,0
1793,37,1,4,55,0,9999,1,3,0,0,9999,19.92,1,703.5548,9999,1,19,3,10,9999,9999,1,0
1795,37,1,4,55,0,9999,1,6,0,0,9999,21.84,1,703.8331,9999,1,7,3,10,0,9999,1,0
1819,28,1,4,55,1,9999,1,4,1,1,9999,16.44,1,754.1809,9999,1,1,4,11,9999,9999,1,0
1825,27,1,4,55,1,9999,1,8,1,1,9999,18.6,2,726.994,9999,1,18,5,5,9999,9999,0,1
1838,27,1,4,55,0,9999,1,13,1,0,9999,12.12,1,726.994,9999,1,10,4,9,9999,0,1,0
1841,27,1,4,55,0,0,9999,10,9999,9999,9999,4.8,1,726.994,0,1,0,9999,8,9999,9999,1,0
1859,29,1,4,55,1,0,9999,9,9999,9999,9999,3.72,3,761.125,0,1,2,9999,8,9999,9999,1,0
1866,21,1,4,55,1,9999,1,8,0,0,9999,11.28,1,731.4524,9999,1,0,3,9,9999,9999,1,0
1881,21,1,4,55,1,9999,1,6,0,0,9999,14.4,1,731.4524,9999,1,14,1,3,9999,1,0,1
1890,25,1,3,55,0,0,9999,11,9999,9999,9999,1.68,1,741.6461,1,1,1,9999,1,9999,9999,0,1
1893,25,1,3,55,0,9999,1,6,0,0,9999,19.8,1,741.6461,9999,1,19,3,6,9999,9999,0,1
1894,25,1,3,55,0,0,9999,9,9999,9999,9999,2.76,1,741.3528,1,1,2,9999,1,9999,9999,0,1
1908,24,1,2,55,0,0,9999,4,9999,9999,9999,3.36,1,705.4388,1,1,3,9999,1,9999,9999,0,1
1914,31,1,3,55,1,9999,1,6,1,0,9999,15.36,3,737.7719,9999,1,1,4,10,9999,0,1,0
